time,wx,wy,wz,a0,a1,a2,a3
0.000000000000000000e+00,8.730000000000000260e-02,6.980000000000000093e-02,5.240000000000000213e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,8.721571476853377802e-02,6.999147549442673311e-02,5.227312696165786754e-02,9.999809532100008003e-01,4.360702679456498164e-03,3.499507119074562935e-03,2.613606566319301439e-03
2.000000000000000111e-01,8.713140296035097598e-02,7.018230296490926556e-02,5.214602871264902711e-02,9.999238166949367956e-01,8.716976652068319023e-03,7.008438643833276270e-03,5.220815267119196731e-03
3.000000000000000444e-01,8.704706683803921374e-02,7.037248242727996150e-02,5.201870713946397939e-02,9.998285974337085547e-01,1.306860794678230478e-02,1.052664477431553523e-02,7.821572084410316136e-03
4.000000000000000222e-01,8.696270865838492958e-02,7.056201391197958195e-02,5.189116412215340896e-02,9.996953039988820677e-01,1.741538316309549847e-02,1.405397511128530369e-02,1.041582332016211844e-02
5.000000000000000000e-01,8.687833067231343076e-02,7.075089746394779000e-02,5.176340153427249485e-02,9.995239465545497914e-01,2.175708948038061058e-02,1.759027866491689324e-02,1.300351559581059031e-02
5.999999999999999778e-01,8.679393512482982964e-02,7.093913314251334978e-02,5.163542124282607254e-02,9.993145368541275220e-01,2.609351466714367879e-02,2.113540386350176020e-02,1.558459585175818278e-02
6.999999999999999556e-01,8.670952425496075699e-02,7.112672102128406171e-02,5.150722510821462152e-02,9.990670882380804363e-01,3.042444709021357996e-02,2.468919856217561062e-02,1.815901134686619470e-02
7.999999999999999334e-01,8.662510029569706060e-02,7.131366118803642018e-02,5.137881498418106485e-02,9.987816156315866278e-01,3.474967572386331027e-02,2.825151005166527673e-02,2.072670965793993111e-02
8.999999999999999112e-01,8.654066547393721165e-02,7.149995374460500763e-02,5.125019271775842905e-02,9.984581355421325854e-01,3.906899015886274029e-02,3.182218506705458000e-02,2.328763867920680825e-02
9.999999999999998890e-01,8.645622201043166866e-02,7.168559880677168039e-02,5.112136014921830895e-02,9.980966660570448346e-01,4.338218061146269233e-02,3.540106979656870712e-02,2.584174662178772425e-02
1.099999999999999867e+00,8.637177211972806024e-02,7.187059650415444922e-02,5.099231911202016521e-02,9.976972268409566302e-01,4.768903793231020483e-02,3.898800989037636000e-02,2.838898201316193345e-02
1.199999999999999956e+00,8.628731801011718661e-02,7.205494698009624888e-02,5.086307143276143361e-02,9.972598391332080370e-01,5.198935361529456040e-02,4.258285046940898932e-02,3.092929369662556632e-02
1.300000000000000044e+00,8.620286188357989543e-02,7.223865039155340229e-02,5.073361893112848103e-02,9.967845257451853902e-01,5.628291980632436214e-02,4.618543613419671262e-02,3.346263083074427908e-02
1.400000000000000133e+00,8.611840593573480418e-02,7.242170690898394603e-02,5.060396341984835927e-02,9.962713110575949216e-01,6.056952931203497120e-02,4.979561097372000450e-02,3.598894288880002956e-02
1.500000000000000222e+00,8.603395235578684130e-02,7.260411671623574759e-02,5.047410670464138466e-02,9.957202210176728796e-01,6.484897560842653452e-02,5.341321857427673570e-02,3.850817965823234712e-02
1.600000000000000311e+00,8.594950332647662006e-02,7.278588001043444222e-02,5.034405058417452256e-02,9.951312831363345879e-01,6.912105284943234618e-02,5.703810202836384624e-02,4.102029124007437744e-02
1.700000000000000400e+00,8.586506102403067275e-02,7.296699700187124493e-02,5.021379685001559068e-02,9.945045264852585554e-01,7.338555587541713277e-02,6.067010394357297276e-02,4.352522804838376835e-02
