time,wx,wy,wz,a0,a1,a2,a3
0.000000000000000000e+00,8.730000000000000260e-02,6.980000000000000093e-02,5.240000000000000213e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,8.721571476853377802e-02,6.999147549442673311e-02,5.227312696165786754e-02,2.180392869213344711e-03,1.749786887360668371e-03,1.306828174041446732e-03,0.000000000000000000e+00
2.000000000000000111e-01,8.713140296035097598e-02,7.018230296490926556e-02,5.214602871264902711e-02,4.358675138207051061e-03,3.504369426188569045e-03,2.610519547195961666e-03,0.000000000000000000e+00
3.000000000000000444e-01,8.704706683803921374e-02,7.037248242727996150e-02,5.201870713946397939e-02,6.534864137963768485e-03,5.263773224169661369e-03,3.911121408753212743e-03,0.000000000000000000e+00
4.000000000000000222e-01,8.696270865838492958e-02,7.056201391197958195e-02,5.189116412215340896e-02,8.708977211797681514e-03,7.028024114196083916e-03,5.208680838631088439e-03,0.000000000000000000e+00
5.000000000000000000e-01,8.687833067231343076e-02,7.075089746394779000e-02,5.176340153427249485e-02,1.088103171474492925e-02,8.797148156469264055e-03,6.503244711007051884e-03,0.000000000000000000e+00
5.999999999999999778e-01,8.679393512482982964e-02,7.093913314251334978e-02,5.163542124282607254e-02,1.305104501296097674e-02,1.057117164063049730e-02,7.794859697928598063e-03,0.000000000000000000e+00
6.999999999999999556e-01,8.670952425496075699e-02,7.112672102128406171e-02,5.150722510821462152e-02,1.521903448312456227e-02,1.235012108791930935e-02,9.083572272903319561e-03,0.000000000000000000e+00
7.999999999999999334e-01,8.662510029569706060e-02,7.131366118803642018e-02,5.137881498418106485e-02,1.738501751184785143e-02,1.413402325335989460e-02,1.036942871446912967e-02,0.000000000000000000e+00
8.999999999999999112e-01,8.654066547393721165e-02,7.149995374460500763e-02,5.125019271775842905e-02,1.954901149509243735e-02,1.592290512797595731e-02,1.165247510974513206e-02,0.000000000000000000e+00
9.999999999999998890e-01,8.645622201043166866e-02,7.168559880677168039e-02,5.112136014921830895e-02,2.171103383759079991e-02,1.771679394103425897e-02,1.293275735796367565e-02,0.000000000000000000e+00
1.099999999999999867e+00,8.637177211972806024e-02,7.187059650415444922e-02,5.099231911202016521e-02,2.387110195227287388e-02,1.951571716231719628e-02,1.421032117398410462e-02,0.000000000000000000e+00
1.199999999999999956e+00,8.628731801011718661e-02,7.205494698009624888e-02,5.086307143276143361e-02,2.602923325969735621e-02,2.131970250442475484e-02,1.548521209178869984e-02,0.000000000000000000e+00
1.300000000000000044e+00,8.620286188357989543e-02,7.223865039155340229e-02,5.073361893112848103e-02,2.818544518748739014e-02,2.312877792510615801e-02,1.675747546796134413e-02,0.000000000000000000e+00
